SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
202,1 Chipman Hill,1 Chipman Hill,1 Prince William Street / Chipman Hill,<Null>,Saint John,New Brunswick,Fine residence with interior mural painting,Bel ensemble d'habitations d�cor�es de peintures murales int�rieures,45.274239,-66.062967
88,223 Robert Street,"223, rue Robert",223 Robert Street,<Null>,Victoria,British Columbia,"Queen Anne Revival style residence, 1905",R�sidence de style n�o-Queen Anne (1905),48.428941,-123.388467
1874,57-63 St. Louis Street,"57-63, rue Saint-Louis",57-63 Saint-Louis Street,<Null>,Qu�bec,Quebec,Part of an historic significant streetscape,Partie d'un important panorama urbain,46.810932,-71.208362
809,Abbot Pass Refuge Cabin,Refuge du Col-Abbot,<Null>,<Null>,Banff National Park of Canada,Alberta,"Early stone alpine cabin used by climbers, 1922",Vieux chalet-refuge en pierre destin� � accueillir des grimpeurs (1922),51.364269,-116.290626
2014,Abbotsford Sikh Temple,Temple sikh d'Abbotsford,33089 South Fraser Way,<Null>,Abbotsford,British Columbia,Oldest surviving Sikh temple,Plus vieux temple sikh existant toujours,49.05125,-122.30703
454,Aberdeen Pavilion,Pavillon Aberdeen,1015 Bank Street / Lansdowne Park,<Null>,Ottawa,Ontario,"Only large-scale exhibition building in Canada surviving from the 19th century, 1898","Grand b�timent d'exposition du XIXe si�cle, unique tout � fait (1898)",45.400067,-75.682794
320,Acacia Grove / Prescott House,Acacia Grove / maison-Prescott,<Null>,<Null>,Starrs Point,Nova Scotia,Palladian home of horticulturalist C. R. Prescott,"Maison de l'horticulteur C. R. Prescott, exemple du classicisme britannique (palladien)",45.110573,-64.379148
596,Acton Vale Railway Station (Grand Trunk),Gare du Grand Tronc � Acton Vale,960 Boulay Street,<Null>,Acton Vale,Quebec,"Picturesque with dormer, turret and bellcast roof","Exemple d'architecture Pittoresque, avec sa lucarne, sa tourelle et son comble bris� en larmier",45.648295,-72.563977
2064,Addison Sod House,Maison de tourbe Addison,Highway 21,<Null>,Kindersley,Saskatchewan,Remarkably well-preserved and rare surviving example of the sod type of construction,Sp�cimen remarquablement bien conserv� de construction en mottes de gazon et un des rares exemples � �tre parvenus jusqu� nous,51.621475,-109.016205
868,Adelaide Hunter Hoodless Homestead,Homestead d'Adelaide Hunter Hoodless,359 Blue Lake Road,<Null>,St. George,Ontario,Childhood home of activist and organizer Adelaide Hunter Hoodless,Maison d'enfance de l'activiste et organisatrice Adelaide Hunter Hoodless,43.236867,-80.296783
